timestamp,ax,ay,az,gx,gy,gz
1745843759,0.008,-0.053,0.997,-3.113,2.258,-5.554
1745843759,0.02,-0.054,1.014,2.747,3.418,-4.578
1745843759,-0.005,-0.077,0.985,6.958,23.865,2.197
1745843759,0.1,-0.098,0.963,-2.075,-6.165,-4.028
1745843759,-0.008,-0.085,0.984,-0.061,-5.981,2.869
1745843759,0.112,-0.095,0.979,-0.366,-10.437,-3.845
1745843759,-0.037,-0.059,1.033,7.507,5.127,4.517
1745843759,0.088,-0.097,1.033,8.179,2.197,-0.793
1745843759,-0.003,-0.082,1.034,1.282,-1.038,0.854
1745843759,0.062,-0.108,1.008,3.967,10.437,1.77
1745843759,0.006,-0.102,0.968,-0.366,-10.864,2.014
1745843759,0.058,-0.103,0.965,5.188,0.854,-0.366
1745843759,0.032,-0.103,0.96,2.808,0.061,2.441
1745843759,0.033,-0.1,0.961,2.93,-1.953,0.916
1745843760,0.05,-0.112,0.96,2.869,2.197,-0.549
1745843760,0.012,-0.097,0.972,0.366,-0.427,1.16
1745843760,0.033,-0.101,0.966,4.7,2.197,1.404
1745843760,0.039,-0.116,0.96,2.014,-4.028,-0.732
1745843760,0.035,-0.109,0.965,4.822,2.686,0.732
1745843760,0.028,-0.086,0.982,7.202,-5.188,0.671
1745843760,0.049,-0.061,1.403,53.101,2.808,3.296
1745843760,0.263,-0.539,1.977,48.279,16.968,-4.028
1745843760,0.057,-0.67,1.8,-97.9,-15.32,51.88
1745843760,-0.031,0.069,-0.174,-208.74,-15.625,24.353
1745843760,-0.174,0.483,-0.646,-16.785,-14.648,5.92
1745843760,0.0,0.067,0.363,105.164,20.264,-13.489
1745843760,0.122,-0.24,1.181,72.021,-6.226,-5.249
1745843760,0.158,-0.187,1.234,22.461,29.175,-1.831
1745843760,0.105,-0.092,1.068,-8.85,-20.63,-8.423
1745843760,0.021,-0.084,1.087,11.475,7.568,4.395
1745843760,0.032,-0.111,1.013,-14.038,-10.803,0.549
1745843760,-0.044,-0.1,1.054,3.723,3.296,7.141
1745843761,0.119,-0.136,0.959,-2.991,6.226,2.747
1745843761,-0.043,-0.059,0.946,-0.732,-0.549,1.526
1745843761,0.04,-0.094,0.938,6.531,2.747,0.122
1745843761,0.01,-0.082,0.956,0.793,-4.7,-3.357
1745843761,0.074,-0.089,0.936,4.761,6.775,-0.671
1745843761,0.02,-0.083,0.949,4.822,0.427,-2.136
1745843761,0.063,-0.096,0.955,6.287,9.766,-0.977
1745843761,0.056,-0.105,0.964,3.906,5.859,-0.854
1745843761,0.052,-0.091,0.944,-0.244,4.456,-1.953
1745843761,0.06,-0.087,0.943,5.615,7.263,0.916
1745843761,0.062,-0.087,0.904,-0.427,-1.343,-0.549
1745843761,0.027,-0.074,0.883,5.249,11.658,2.93
1745843761,0.103,-0.108,0.878,10.01,23.865,-1.099
1745843761,0.132,-0.125,0.913,-2.563,-8.362,-7.263
1745843761,0.084,-0.114,0.944,1.709,-5.005,-7.08
1745843761,0.113,-0.113,0.927,-3.784,-9.827,-6.47
1745843761,0.029,-0.097,1.035,14.771,6.531,-5.676
1745843761,0.119,-0.161,1.058,18.066,11.353,-6.226
1745843761,0.062,-0.151,1.082,7.202,-2.747,-3.906
1745843761,0.077,-0.16,1.037,1.953,-0.549,-2.808
1745843762,0.077,-0.146,1.001,-2.38,-4.7,-2.686
1745843762,0.103,-0.146,0.951,1.282,8.545,-1.099
1745843762,0.072,-0.14,0.941,-2.136,-8.789,-0.427
1745843762,0.103,-0.136,0.958,5.92,5.859,-0.732
1745843762,0.067,-0.147,0.964,2.319,-1.77,-1.343
1745843762,0.087,-0.145,0.968,3.052,1.587,0.122
1745843762,0.104,-0.153,0.973,2.625,2.991,-0.061
1745843762,0.056,-0.147,0.978,2.747,2.808,1.221
1745843762,0.093,-0.144,0.974,3.052,-5.249,-0.061
1745843762,0.053,-0.126,0.992,7.385,-1.892,-1.099
1745843762,0.122,-0.141,1.159,21.79,8.118,0.977
1745843762,-0.029,-0.497,2.443,18.616,62.5,24.048
1745843762,0.483,-0.537,1.729,-176.758,-96.497,30.823
1745843762,0.371,-0.112,-0.089,-137.024,-61.157,31.616
1745843762,-0.237,0.288,-0.767,17.578,-39.062,31.555
1745843762,-0.306,0.224,-0.136,120.85,37.537,9.827
1745843762,0.098,-0.242,0.955,93.689,51.941,-7.812
1745843762,0.241,-0.27,1.357,22.156,52.429,-14.343
1745843762,0.166,-0.205,1.343,15.991,24.109,-11.536
1745843763,0.232,-0.226,1.139,-1.465,-7.385,-8.057
1745843763,-0.023,-0.167,1.103,-2.625,-13.916,-3.784
1745843763,0.182,-0.186,1.004,2.563,12.634,-0.732
1745843763,0.057,-0.136,0.99,-11.108,-8.423,0.061
1745843763,0.126,-0.127,0.943,-0.061,5.249,1.648
1745843763,0.104,-0.119,0.922,-6.409,10.315,-0.305
1745843763,0.084,-0.093,0.89,-8.85,1.343,0.061
1745843763,0.118,-0.103,0.884,0.61,-3.296,-1.77
1745843763,0.132,-0.111,0.887,-6.653,-7.874,-4.761
1745843763,0.105,-0.123,0.888,-9.583,1.221,-4.028
1745843763,0.179,-0.128,0.852,-14.465,-7.935,-10.071
1745843763,0.073,-0.07,0.932,7.324,-6.775,-2.747
1745843763,0.085,-0.081,0.964,13.062,0.977,-2.869
1745843763,0.084,-0.102,1.014,11.047,4.761,-3.906
1745843763,0.064,-0.103,1.054,14.221,6.042,-5.92
1745843763,0.072,-0.115,1.052,11.292,7.751,-2.441
1745843763,0.103,-0.132,1.037,11.78,-3.601,-2.075
1745843763,0.119,-0.144,1.005,6.287,0.488,-2.93
1745843763,0.102,-0.14,0.982,4.028,2.075,-0.244
1745843764,0.109,-0.141,0.955,0.183,-3.479,0.183
1745843764,0.085,-0.146,0.961,2.808,2.502,-0.305
1745843764,0.092,-0.141,0.957,1.953,-1.038,-0.732
1745843764,0.088,-0.139,0.957,1.709,4.395,-1.221
1745843764,0.111,-0.148,0.949,1.099,-4.333,-1.343
1745843764,0.076,-0.134,0.963,1.831,-2.991,-0.793
1745843764,0.178,-0.165,0.972,8.667,-6.531,-2.441
1745843764,0.069,-0.165,1.535,44.617,8.911,3.784
1745843764,0.252,-0.447,2.252,6.775,-22.949,23.926
1745843764,-0.048,-0.495,1.779,-109.253,3.235,45.471
1745843764,0.16,-0.152,-0.025,-196.289,-71.533,10.742
1745843764,-0.01,0.342,-0.863,-45.959,-28.809,-7.324
1745843764,-0.174,0.252,-0.042,99.365,36.682,-6.348
1745843764,0.111,-0.141,1.084,72.021,14.404,-15.808
1745843764,0.171,-0.192,1.268,32.41,39.734,-11.963
1745843764,0.09,-0.105,1.213,13.733,3.54,-9.155
1745843764,0.127,-0.105,1.125,17.09,1.648,-5.493
1745843764,0.056,-0.164,1.075,0.0,-8.24,-3.845
1745843765,0.04,-0.077,0.94,8.972,8.85,-7.568
1745843765,0.106,-0.109,0.971,4.578,-7.446,-6.104
1745843765,0.115,-0.133,0.991,4.822,5.981,-9.094
1745843765,0.094,-0.089,1.018,15.137,8.423,-2.502
1745843765,0.12,-0.113,1.029,9.644,10.315,-0.122
1745843765,0.065,-0.102,1.035,2.563,-5.676,-1.526
1745843765,0.088,-0.115,1.014,3.784,8.789,1.221
1745843765,0.113,-0.127,0.979,-4.944,-6.775,-0.549
1745843765,0.075,-0.106,0.963,1.709,8.423,1.587
1745843765,0.11,-0.128,0.952,0.488,-0.244,1.77
1745843765,0.079,-0.107,0.98,2.38,-1.648,0.488
1745843765,0.125,-0.14,0.979,0.244,-1.282,0.549
1745843765,0.058,-0.105,0.984,-8.362,-4.028,-3.113
1745843765,0.124,-0.1,0.983,4.517,1.404,2.136
1745843765,0.083,-0.098,1.051,-0.244,-8.423,-1.16
1745843766,0.09,-0.104,1.139,3.357,0.061,3.601
1745843766,0.067,-0.111,1.135,-9.46,-12.024,5.066
1745843766,0.076,-0.113,1.032,-6.47,-3.784,7.202
1745843766,0.076,-0.099,0.902,2.319,-25.696,0.305
1745843766,-0.006,-0.09,0.861,0.916,-8.118,4.761
1745843766,0.075,-0.105,0.878,-7.935,-9.766,2.319
1745843766,0.012,-0.097,0.872,-9.705,-3.845,1.038
1745843766,0.087,-0.112,0.822,-1.465,13.55,4.333
1745843766,0.133,-0.298,0.618,-17.578,-11.841,10.803
1745843766,0.017,0.234,-0.481,-123.901,-39.551,-30.701
1745843766,-0.344,0.519,0.45,200.867,67.993,-27.527
1745843766,0.456,-0.94,2.389,83.801,-30.457,-26.306
1745843766,0.084,-0.335,1.783,-25.208,40.588,-19.958
1745843766,0.097,-0.18,1.044,-45.105,-26.672,0.793
1745843766,0.008,-0.117,0.869,-5.005,15.381,13.428
1745843766,-0.004,-0.142,0.893,-16.968,-20.325,8.362
